original_text,caption_text,threshold,internal_topic_1,internal_topic_2,threshold_value,topic_id_1,topic_id_2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
abastecimento de água a entidades privadas,Water supply affected,Signal,Infrastructure - Utilities - Water,,general.alert3,188242,,AAEntity,Water supply affected,,portugal_emergency_response_topic_threshold_mapping,84a605525ecee4ccda42e240853c8ebc,portugal_emergency_response_topic_threshold_mapping__84a605525ecee4ccda42e240853c8ebc
abastecimento de água a entidades públicas,Water supply affected,Signal,Infrastructure - Utilities - Water,,general.alert3,188242,,space,Water supply affected,,portugal_emergency_response_topic_threshold_mapping,84a605525ecee4ccda42e240853c8ebc,portugal_emergency_response_topic_threshold_mapping__84a605525ecee4ccda42e240853c8ebc
abastecimento de água à população,Water supply affected,Signal,Infrastructure - Utilities - Water,,general.alert3,188242,,FTO,Water supply affected,,portugal_emergency_response_topic_threshold_mapping,84a605525ecee4ccda42e240853c8ebc,portugal_emergency_response_topic_threshold_mapping__84a605525ecee4ccda42e240853c8ebc
abertura de elevadores,Elevator incident,Hyperspecific,Search and Rescue,,general.alert5,188290,,DiplomaticFacilities,Elevator incident,,portugal_emergency_response_topic_threshold_mapping,44a06ad32610fcc4cb80c49d5f548722,portugal_emergency_response_topic_threshold_mapping__44a06ad32610fcc4cb80c49d5f548722
abertura de porta com socorro,Incident,Hyperspecific,Search and Rescue,,general.alert5,188290,,Refinery,Incident,,portugal_emergency_response_topic_threshold_mapping,124617f0ad4a4ecb40ac0b9dcad97ed9,portugal_emergency_response_topic_threshold_mapping__124617f0ad4a4ecb40ac0b9dcad97ed9
abertura de porta sem socorro,Incident,Hyperspecific,Search and Rescue,,general.alert5,188290,,Person,Incident,,portugal_emergency_response_topic_threshold_mapping,124617f0ad4a4ecb40ac0b9dcad97ed9,portugal_emergency_response_topic_threshold_mapping__124617f0ad4a4ecb40ac0b9dcad97ed9
acompanhamento de transportes,Motorcade,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Pipeline,Motorcade,,portugal_emergency_response_topic_threshold_mapping,7e64989a5bb9559e525c3d6c26efbf64,portugal_emergency_response_topic_threshold_mapping__7e64989a5bb9559e525c3d6c26efbf64
assistência à população e apoio social,Social assistance,Hyperspecific,Infrastructure - Public Housing & Emergency Shelter,,general.alert5,188289,,Organization,Social assistance,,portugal_emergency_response_topic_threshold_mapping,f181f3de5b10d6a422f36a4371541157,portugal_emergency_response_topic_threshold_mapping__f181f3de5b10d6a422f36a4371541157
"busca e resgate aquático, de animais",Search and rescue for animal underway,Local Signal,Search and Rescue,,general.alert4,188290,,Organization,Search and rescue for animal underway,,portugal_emergency_response_topic_threshold_mapping,5de6734e06012baa684f2bdb0d3cd29d,portugal_emergency_response_topic_threshold_mapping__5de6734e06012baa684f2bdb0d3cd29d
"busca e resgate aquático, de pessoas",Search and rescue for person underway,Local Signal,Search and Rescue,,general.alert3,188290,,Diplomat,Search and rescue for person underway,,portugal_emergency_response_topic_threshold_mapping,4688d568ffaadbf2f9df140dbd37f0f3,portugal_emergency_response_topic_threshold_mapping__4688d568ffaadbf2f9df140dbd37f0f3
"busca e resgate terrestre, de animais",Search and rescue for animal underway,Local Signal,Search and Rescue,,general.alert4,188290,,Pipeline,Search and rescue for animal underway,,portugal_emergency_response_topic_threshold_mapping,5de6734e06012baa684f2bdb0d3cd29d,portugal_emergency_response_topic_threshold_mapping__5de6734e06012baa684f2bdb0d3cd29d
"busca e resgate terrestre, de pessoas",Search and rescue for person underway,Local Signal,Search and Rescue,,general.alert3,188290,,News,Search and rescue for person underway,,portugal_emergency_response_topic_threshold_mapping,4688d568ffaadbf2f9df140dbd37f0f3,portugal_emergency_response_topic_threshold_mapping__4688d568ffaadbf2f9df140dbd37f0f3
corte ou remoção de elementos em perigo de queda,Removal of objects in danger of falling,Signal,Roadways - Safety,,general.alert3,188130,,Consulates,Removal of objects in danger of falling,,portugal_emergency_response_topic_threshold_mapping,6dff0c89c920b485d3410d19c8ef7e81,portugal_emergency_response_topic_threshold_mapping__6dff0c89c920b485d3410d19c8ef7e81
evacuação,Evacuation,Local Urgent,Crime - Active Threat,Crime - No Active Threat,general.alert2.local,188296,188297,Organization,Evacuation,,portugal_emergency_response_topic_threshold_mapping,8cee44c8cd728172db4e146f4c317558,portugal_emergency_response_topic_threshold_mapping__8cee44c8cd728172db4e146f4c317558
limpeza de via e sinalização de perigo,Road maintenance and danger signs,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Shipping,Road maintenance and danger signs,,portugal_emergency_response_topic_threshold_mapping,7cd5e86f7796d9972f5ea1e2ef98217a,portugal_emergency_response_topic_threshold_mapping__7cd5e86f7796d9972f5ea1e2ef98217a
"patrulhamento, reconhecimento e vigilância",Police patrol,Hyperspecific,Crime - No Active Threat,,general.alert5,188297,,Refinery,Police patrol,,portugal_emergency_response_topic_threshold_mapping,f4cba5b0dc4bdcf5b10aa89237bc80fd,portugal_emergency_response_topic_threshold_mapping__f4cba5b0dc4bdcf5b10aa89237bc80fd
prevenção a actividades de lazer,Public activities halted,Hyperspecific,Crime - No Active Threat,,general.alert5,188297,,Consulates,Public activities halted,,portugal_emergency_response_topic_threshold_mapping,e4d169fa2353db90a43d24da4d3e7101,portugal_emergency_response_topic_threshold_mapping__e4d169fa2353db90a43d24da4d3e7101
prevenção a queimadas,Fire prevention actions,Hyperspecific,Fires and Collapses,,general.alert5,188118,,Media,Fire prevention actions,,portugal_emergency_response_topic_threshold_mapping,7c8e3d76ee8c3c7e524e035ebc038298,portugal_emergency_response_topic_threshold_mapping__7c8e3d76ee8c3c7e524e035ebc038298
reboque e desempanagem,Towing incident,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Diplomat,Towing incident,,portugal_emergency_response_topic_threshold_mapping,262b30a360e3262302a9ee7e19b3685c,portugal_emergency_response_topic_threshold_mapping__262b30a360e3262302a9ee7e19b3685c
afogamento,Drowning incident,Local Urgent,Maritime - Safety,,general.alert2.local,188131,,LegislativeCommittee,Drowning incident,,portugal_emergency_response_topic_threshold_mapping,71f7db52d0a7a6e494036672e8bc987b,portugal_emergency_response_topic_threshold_mapping__71f7db52d0a7a6e494036672e8bc987b
doença,Person injured,Local Signal,Crime - No Active Threat,,general.alert4,188297,,Diplomat,Person injured,,portugal_emergency_response_topic_threshold_mapping,351684d5f95a781c1610ade57ccd9262,portugal_emergency_response_topic_threshold_mapping__351684d5f95a781c1610ade57ccd9262
evacuação e transporte médico aéreo,Aeromedical evacuation,Local Urgent,Infrastructure - Medical,,general.alert2.local,188115,,Wells,Aeromedical evacuation,,portugal_emergency_response_topic_threshold_mapping,bbef0f9a67804c5cac1fa1a5c002b92f,portugal_emergency_response_topic_threshold_mapping__bbef0f9a67804c5cac1fa1a5c002b92f
intoxicação,Intoxicated person,Hyperspecific,Crime - No Active Threat,,general.alert5,188297,,Diplomat,Intoxicated person,,portugal_emergency_response_topic_threshold_mapping,b009c8429d56b7455b4e1ed8bf9c3830,portugal_emergency_response_topic_threshold_mapping__b009c8429d56b7455b4e1ed8bf9c3830
pré-afogamento,Drowning incident,Signal,Maritime - Safety,,general.alert3,188131,,CompanyKeyword,Drowning incident,,portugal_emergency_response_topic_threshold_mapping,71f7db52d0a7a6e494036672e8bc987b,portugal_emergency_response_topic_threshold_mapping__71f7db52d0a7a6e494036672e8bc987b
queimadura,Burn injury,Local Signal,Roadways - Safety,,general.alert4,188130,,ForeignMinistry,Burn injury,,portugal_emergency_response_topic_threshold_mapping,38d9c9d48a52720168ccbe99f62c7f09,portugal_emergency_response_topic_threshold_mapping__38d9c9d48a52720168ccbe99f62c7f09
trabalho de parto,Medical incident,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Diplomat,Medical incident,,portugal_emergency_response_topic_threshold_mapping,8a77ad9b549df273d1b9285dc596c253,portugal_emergency_response_topic_threshold_mapping__8a77ad9b549df273d1b9285dc596c253
transporte de doentes entre unidades de saúde,Patient transported,Hyperspecific,Infrastructure - Medical,,general.alert5,188115,,Organization,Patient transported,,portugal_emergency_response_topic_threshold_mapping,582b30ba4551fbc9cf630163063aa925,portugal_emergency_response_topic_threshold_mapping__582b30ba4551fbc9cf630163063aa925
transporte de orgãos para transplante,Organ transport,Hyperspecific,Infrastructure - Medical,,general.alert5,188115,,Legislator,Organ transport,,portugal_emergency_response_topic_threshold_mapping,669b518462869221102cfc2ce6bf6a2b,portugal_emergency_response_topic_threshold_mapping__669b518462869221102cfc2ce6bf6a2b
transporte extra siem,Patient transported,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Diplomat,Patient transported,,portugal_emergency_response_topic_threshold_mapping,582b30ba4551fbc9cf630163063aa925,portugal_emergency_response_topic_threshold_mapping__582b30ba4551fbc9cf630163063aa925
transporte regular de doentes,Patient transported,Hyperspecific,Roadways - Safety,,general.alert5,188130,,AAEntity,Patient transported,,portugal_emergency_response_topic_threshold_mapping,582b30ba4551fbc9cf630163063aa925,portugal_emergency_response_topic_threshold_mapping__582b30ba4551fbc9cf630163063aa925
trauma,Person injured,Signal,Crime - No Active Threat,,general.alert4,188297,,CompanyKeyword,Person injured,,portugal_emergency_response_topic_threshold_mapping,351684d5f95a781c1610ade57ccd9262,portugal_emergency_response_topic_threshold_mapping__351684d5f95a781c1610ade57ccd9262
colapso de galerias e cavidades artificiais,Collapse,Local Urgent,Fires and Collapses,,general.alert2.local,188118,,ForeignMinister,Collapse,,portugal_emergency_response_topic_threshold_mapping,2b31634e3cfef1bfdd7d0d2cdfdc3f9d,portugal_emergency_response_topic_threshold_mapping__2b31634e3cfef1bfdd7d0d2cdfdc3f9d
corte de abastecimento de água,Water supply affected,Local Urgent,Infrastructure - Utilities - Water,,general.alert2.local,188242,,Refinery,Water supply affected,,portugal_emergency_response_topic_threshold_mapping,84a605525ecee4ccda42e240853c8ebc,portugal_emergency_response_topic_threshold_mapping__84a605525ecee4ccda42e240853c8ebc
corte de abastecimento de gás,Gas supply affected,Local Urgent,Infrastructure - Utilities - Gas & Electricity,,general.alert2.local,188241,,ForeignMinister,Gas supply affected,,portugal_emergency_response_topic_threshold_mapping,53751ec9254bc4c3756aea491ba838e6,portugal_emergency_response_topic_threshold_mapping__53751ec9254bc4c3756aea491ba838e6
corte de abastecimento eléctrico,Electricity supply affected,Local Urgent,Infrastructure - Utilities - Gas & Electricity,,general.alert2.local,188241,,Consulates,Electricity supply affected,,portugal_emergency_response_topic_threshold_mapping,0ed58dce6652d53692b7c26898accd7e,portugal_emergency_response_topic_threshold_mapping__0ed58dce6652d53692b7c26898accd7e
dano em oleodutos e gasodutos,Pipe damaged,Local Urgent,Infrastructure - Utilities - Gas & Electricity,,general.alert2.local,188241,,IndustryTerm,Pipe damaged,,portugal_emergency_response_topic_threshold_mapping,2746dcedd143adae65429c3643ae470e,portugal_emergency_response_topic_threshold_mapping__2746dcedd143adae65429c3643ae470e
dano em redes de abastecimento de água,Water supply damaged,Local Urgent,Infrastructure - Utilities - Water,,general.alert2.local,188242,,ForeignMinistry,Water supply damaged,,portugal_emergency_response_topic_threshold_mapping,a6b7560cd5155599085146547a99cef4,portugal_emergency_response_topic_threshold_mapping__a6b7560cd5155599085146547a99cef4
dano em redes de abastecimento de gás,Gas supply damaged,Local Urgent,Infrastructure - Utilities - Gas & Electricity,,general.alert2.local,188241,,Exec,Gas supply damaged,,portugal_emergency_response_topic_threshold_mapping,02cfc6b54e40576c5676772210676726,portugal_emergency_response_topic_threshold_mapping__02cfc6b54e40576c5676772210676726
dano ou queda de redes de fornecimento eléctrico,Electricity supply damaged,Local Urgent,Infrastructure - Utilities - Gas & Electricity,,general.alert2.local,188241,,Media,Electricity supply damaged,,portugal_emergency_response_topic_threshold_mapping,14ee06741e5973505b94e268ab6629bf,portugal_emergency_response_topic_threshold_mapping__14ee06741e5973505b94e268ab6629bf
desabamento de estruturas edificadas,Building collapse,Local Urgent,Fires and Collapses,,general.alert2.local,188118,,Person,Building collapse,,portugal_emergency_response_topic_threshold_mapping,2b554eca9717aa1e2dcf2b578ce4896f,portugal_emergency_response_topic_threshold_mapping__2b554eca9717aa1e2dcf2b578ce4896f
desentupimento / tamponamento,Pipe blocked,Signal,Infrastructure - Utilities - Gas & Electricity,Infrastructure - Utilities - Water,general.alert3,188241,188242,Refinery,Pipe blocked,,portugal_emergency_response_topic_threshold_mapping,9a5459a7c7ee143e2d24d29d01bdacbe,portugal_emergency_response_topic_threshold_mapping__9a5459a7c7ee143e2d24d29d01bdacbe
inundação de estruturas ou superfícies por precipitação intensa,Flooding due to rain,Local Urgent,Natural Disasters,,general.alert2.local,188117,,ForeignMinistry,Flooding due to rain,,portugal_emergency_response_topic_threshold_mapping,92a1c9223aab4b4664260d8f3e7547b0,portugal_emergency_response_topic_threshold_mapping__92a1c9223aab4b4664260d8f3e7547b0
inundação de estruturas por água canalizada,Flooding due to burst pipe,Local Urgent,Infrastructure - Utilities - Water,,general.alert2.local,188242,,Shipping,Flooding due to burst pipe,,portugal_emergency_response_topic_threshold_mapping,a1043c3f2bf392bafee46e801a20aa67,portugal_emergency_response_topic_threshold_mapping__a1043c3f2bf392bafee46e801a20aa67
movimento de massa,Landslide,Local Urgent,Natural Disasters,,general.alert2.local,188117,,Wells,Landslide,,portugal_emergency_response_topic_threshold_mapping,ec86c50dd322a6ab0f85441dbd9ea9c2,portugal_emergency_response_topic_threshold_mapping__ec86c50dd322a6ab0f85441dbd9ea9c2
queda de árvore,Fallen tree,Hyperspecific,Roadways - Safety,,general.alert5,188130,,Consulates,Fallen tree,,portugal_emergency_response_topic_threshold_mapping,cb0a267c211ba2d15b875f1123d88476,portugal_emergency_response_topic_threshold_mapping__cb0a267c211ba2d15b875f1123d88476
queda de elementos de construção em estruturas edificadas,Partial structure collapse,Local Urgent,Fires and Collapses,,general.alert2.local,188118,,AAEntity,Partial structure collapse,,portugal_emergency_response_topic_threshold_mapping,27c0d678b34eb39c17afefc22f20ccdc,portugal_emergency_response_topic_threshold_mapping__27c0d678b34eb39c17afefc22f20ccdc
queda de estruturas temporárias ou móveis,Partial structure collapse,Local Urgent,Fires and Collapses,,general.alert2.local,188118,,Pipeline,Partial structure collapse,,portugal_emergency_response_topic_threshold_mapping,27c0d678b34eb39c17afefc22f20ccdc,portugal_emergency_response_topic_threshold_mapping__27c0d678b34eb39c17afefc22f20ccdc
queda de projectil comandado,Projectile object reported,Local Urgent,Crime - Active Threat,Roadways - Safety,general.alert2.local,188296,188130,Wells,Projectile object reported,,portugal_emergency_response_topic_threshold_mapping,43dd472b4c3dae138c18066f9358c650,portugal_emergency_response_topic_threshold_mapping__43dd472b4c3dae138c18066f9358c650
ruptura de barragens,Burst dam,National Urgent,Infrastructure - Utilities - Water,,general.alert2,188242,,Media,Burst dam,,portugal_emergency_response_topic_threshold_mapping,c95e64b3f96a7f90576d404980053031,portugal_emergency_response_topic_threshold_mapping__c95e64b3f96a7f90576d404980053031
sabotagem a estruturas críticas,Critical infrastructure damaged,Local Urgent,Infrastructure - Utilities - Telecommunications,Infrastructure - Utilities - Gas & Electricity,general.alert2.local,188240,188241,Legislator,Critical infrastructure damaged,,portugal_emergency_response_topic_threshold_mapping,bb81c3ab7ba477368cfbc039716bc385,portugal_emergency_response_topic_threshold_mapping__bb81c3ab7ba477368cfbc039716bc385
estado de alerta especial nível amarelo (estado de alerta - nivel 2*),Yellow Alert - Level 2,Local Urgent,Natural Disasters,,general.alert2.local,188117,,ForeignMinistry,Yellow Alert - Level 2,,portugal_emergency_response_topic_threshold_mapping,5ec8b2d754a0adc376a86a0de51a7e14,portugal_emergency_response_topic_threshold_mapping__5ec8b2d754a0adc376a86a0de51a7e14
estado de alerta especial nível azul (estado de alerta - nivel 1*),Blue Alert - Level 1,Local Urgent,Natural Disasters,,general.alert2.local,188117,,IndustryTerm,Blue Alert - Level 1,,portugal_emergency_response_topic_threshold_mapping,6adc806ab1cd597b3355e566227a30b9,portugal_emergency_response_topic_threshold_mapping__6adc806ab1cd597b3355e566227a30b9
estado de alerta especial nível laranja (estado de alerta - nivel 3*),Orange Alert - Level 3,Local Urgent,Natural Disasters,,general.alert2.local,188117,,CompanyKeyword,Orange Alert - Level 3,,portugal_emergency_response_topic_threshold_mapping,c42366973197968bd0f88d23c559e73a,portugal_emergency_response_topic_threshold_mapping__c42366973197968bd0f88d23c559e73a
estado de alerta especial nível vermelho (estado de alerta - nivel 4*),Red Alert - Level 4,Local Urgent,Natural Disasters,,general.alert2.local,188117,,FTO,Red Alert - Level 4,,portugal_emergency_response_topic_threshold_mapping,968b559bfad90e16dcc3c8a202e8f96e,portugal_emergency_response_topic_threshold_mapping__968b559bfad90e16dcc3c8a202e8f96e
situação crítica,Critical incident,Local Urgent,Crime - Active Threat,,general.alert2.local,188296,,Person,Critical incident,,portugal_emergency_response_topic_threshold_mapping,416c6f50d463b10a4475c29ff7ddd872,portugal_emergency_response_topic_threshold_mapping__416c6f50d463b10a4475c29ff7ddd872
actividade vulcânica,Volcanic actvivity,National Urgent,Natural Disasters,,general.alert2,188117,,IndustryTerm,Volcanic actvivity,,portugal_emergency_response_topic_threshold_mapping,05a3f16949e8719a7f02c17b9fc69ee4,portugal_emergency_response_topic_threshold_mapping__05a3f16949e8719a7f02c17b9fc69ee4
cheia,Flooding,Signal,Natural Disasters,,general.alert3,188117,,AAEntity,Flooding,,portugal_emergency_response_topic_threshold_mapping,c244d080617e096f13d28a4fdf82b8d9,portugal_emergency_response_topic_threshold_mapping__c244d080617e096f13d28a4fdf82b8d9
colapso de cavidades suberrâneas naturais,Cave collapse,Local Urgent,Fires and Collapses,,general.alert2.local,188118,,FTO,Cave collapse,,portugal_emergency_response_topic_threshold_mapping,ab14ca7811ed4029bedd4a2d9290beff,portugal_emergency_response_topic_threshold_mapping__ab14ca7811ed4029bedd4a2d9290beff
enxurrada/aluvião,Flooding,Local Urgent,Natural Disasters,,general.alert2.local,188117,,Shipping,Flooding,,portugal_emergency_response_topic_threshold_mapping,c244d080617e096f13d28a4fdf82b8d9,portugal_emergency_response_topic_threshold_mapping__c244d080617e096f13d28a4fdf82b8d9
erosão costeira,Coastal erosion,Signal,Weather - News,,general.alert3,188141,,Pipeline,Coastal erosion,,portugal_emergency_response_topic_threshold_mapping,a1407268fdf4d5ae24da530e4920fb64,portugal_emergency_response_topic_threshold_mapping__a1407268fdf4d5ae24da530e4920fb64
inundação por galgamento costeiro,Coastal flooding,Local Urgent,Natural Disasters,,general.alert2.local,188117,,Person,Coastal flooding,,portugal_emergency_response_topic_threshold_mapping,ca8fdb0a0ca067ecaa51f4934c06fb13,portugal_emergency_response_topic_threshold_mapping__ca8fdb0a0ca067ecaa51f4934c06fb13
nevões,Snow,Local Urgent,Weather - News,,general.alert2.local,188141,,space,Snow,,portugal_emergency_response_topic_threshold_mapping,b46d3c8ee8032551c011745d587705cc,portugal_emergency_response_topic_threshold_mapping__b46d3c8ee8032551c011745d587705cc
ondas de calor,Heat wave,Local Urgent,Weather - News,,general.alert2.local,188141,,AAEntity,Heat wave,,portugal_emergency_response_topic_threshold_mapping,34b077137f929974d7250734ddf6617a,portugal_emergency_response_topic_threshold_mapping__34b077137f929974d7250734ddf6617a
ondas de frio,Cold wave,Local Urgent,Weather - News,,general.alert2.local,188141,,ForeignMinistry,Cold wave,,portugal_emergency_response_topic_threshold_mapping,7aee30764a5a40f541fd87553d40dd29,portugal_emergency_response_topic_threshold_mapping__7aee30764a5a40f541fd87553d40dd29
queda de meteorito,Meteorite reported,National Urgent,Weather - News,,general.alert2,188141,,Consulates,Meteorite reported,,portugal_emergency_response_topic_threshold_mapping,ed51162a1fe89b999e114a9ccf99b692,portugal_emergency_response_topic_threshold_mapping__ed51162a1fe89b999e114a9ccf99b692
secas,Drought,Local Urgent,Weather - News,,general.alert2.local,188141,,Person,Drought,,portugal_emergency_response_topic_threshold_mapping,eb851d8734999927589c75fde9f5910e,portugal_emergency_response_topic_threshold_mapping__eb851d8734999927589c75fde9f5910e
sismo,Earthquake,Local Urgent,Natural Disasters,,general.alert2.local,188117,,Consulates,Earthquake,,portugal_emergency_response_topic_threshold_mapping,5143a0acadb54ccf178031e530f7e833,portugal_emergency_response_topic_threshold_mapping__5143a0acadb54ccf178031e530f7e833
ventos fortes,Strong winds,Signal,Weather - News,,general.alert3,188141,,Legislator,Strong winds,,portugal_emergency_response_topic_threshold_mapping,2d8c3f7c80c0e7243249afbf4ca6ce85,portugal_emergency_response_topic_threshold_mapping__2d8c3f7c80c0e7243249afbf4ca6ce85
